task	mode	budget	status	commands	steps	stream_len	assistant_len	sections	control	verification	runtime_line	intelligence	flow
deterministic-tests	programming	long	running	0	0	0	0	0	0	0	0	32	18
concurrency-race	programming	long	running	0	0	0	0	0	0	0	0	32	18
api-hardening	programming	standard	running	0	0	0	0	0	0	0	0	32	18
migration-safe	programming	long	running	0	0	0	0	0	0	0	0	32	18
perf-regression	programming	standard	running	0	0	0	0	0	0	0	0	32	18
security-audit	security-audit	long	running	0	0	0	0	0	0	0	0	32	18
refactor-boundaries	programming	standard	running	0	0	0	0	0	0	0	0	32	18
failure-recovery	programming	long	running	0	0	0	0	0	0	0	0	32	18
spec-to-code	programming	until-complete	running	0	0	0	0	0	0	0	0	32	18
report-trace	report	standard	running	0	0	0	0	0	0	0	0	32	18
teacher-explain	teacher	standard	running	0	0	0	0	0	0	0	0	32	18
pentest-simulation	pentest	long	running	0	0	0	0	0	0	0	0	32	18
