task	mode	budget	status	commands	steps	stream_len	assistant_len	sections	control	verification	runtime_line	intelligence	flow
deterministic-tests	programming	long	timeout	2	4	198	414	1	1	1	1	61	71
concurrency-race	programming	long	timeout	2	4	198	414	1	1	1	1	61	71
api-hardening	programming	standard	timeout	2	4	198	414	1	1	1	1	61	71
migration-safe	programming	long	timeout	2	4	198	414	1	1	1	1	61	71
perf-regression	programming	standard	timeout	2	4	198	414	1	1	1	1	61	71
security-audit	security-audit	long	timeout	2	4	198	414	1	1	1	1	61	71
refactor-boundaries	programming	standard	timeout	2	4	198	414	1	1	1	1	61	71
failure-recovery	programming	long	timeout	2	4	198	414	1	1	1	1	61	71
spec-to-code	programming	until-complete	timeout	2	4	198	414	1	1	1	1	61	71
report-trace	report	standard	timeout	2	4	198	414	1	1	1	1	61	71
teacher-explain	teacher	standard	timeout	2	4	198	414	1	1	1	1	61	71
pentest-simulation	pentest	long	timeout	2	4	198	414	1	1	1	1	61	71
