task	mode	budget	status	commands	steps	stream_len	assistant_len	sections	control	verification	runtime_line	intelligence	flow
deterministic-tests	report	standard	awaiting_decision	0	6	0	43	0	1	0	0	52	49
concurrency-race	assistant	standard	awaiting_decision	0	1	0	43	0	1	0	0	40	27
api-hardening	programming	standard	awaiting_decision	0	1	0	43	0	1	0	0	40	27
migration-safe	assistant	standard	awaiting_decision	0	1	0	43	0	1	0	0	40	27
perf-regression	report	standard	awaiting_decision	0	1	0	43	0	1	0	0	40	27
security-audit	security-audit	standard	awaiting_decision	0	1	0	43	0	1	0	0	40	27
refactor-boundaries	assistant	standard	awaiting_decision	0	1	0	43	0	1	0	0	40	27
failure-recovery	programming	standard	awaiting_decision	0	1	0	43	0	1	0	0	40	27
spec-to-code	assistant	standard	awaiting_decision	0	1	0	43	0	1	1	0	49	33
report-trace	report	standard	awaiting_decision	0	1	0	43	0	1	0	0	40	27
teacher-explain	teacher	standard	awaiting_decision	0	1	0	43	0	1	0	0	40	27
pentest-simulation	pentest	standard	awaiting_decision	0	6	0	43	0	1	1	0	61	55
