task	mode	budget	status	commands	steps	stream_len	assistant_len	sections	control	verification	runtime_line	intelligence	flow
deterministic-tests	programming	long		0	0	0	0	0	0	0	0	32	18
concurrency-race	programming	long		0	0	0	0	0	0	0	0	32	18
api-hardening	programming	standard		0	0	0	0	0	0	0	0	32	18
migration-safe	programming	long		0	0	0	0	0	0	0	0	32	18
perf-regression	programming	standard		0	0	0	0	0	0	0	0	32	18
security-audit	security-audit	long		0	0	0	0	0	0	0	0	32	18
refactor-boundaries	programming	standard		0	0	0	0	0	0	0	0	32	18
failure-recovery	programming	long		0	0	0	0	0	0	0	0	32	18
spec-to-code	programming	until-complete		0	0	0	0	0	0	0	0	32	18
report-trace	report	standard		0	0	0	0	0	0	0	0	32	18
teacher-explain	teacher	standard		0	0	0	0	0	0	0	0	32	18
pentest-simulation	pentest	long		0	0	0	0	0	0	0	0	32	18
